Country name,Happiness,Satisfaction,Drug addict neighbors,Heavy drinker neighbors,AIDS neighbors,Street alcohol,Drug sales,Government responsibility
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.4069886, 5.2204804, 1.2047952, 1.3496504, 1.4985015, 0.0, 0.0, 4.022358
, 1.8474678, 7.1407027, 1.3070953, 1.6265523, 1.6424667, 3.3367815, 3.8132184, 4.004666
, 2.0960352, 6.394737, 1.2563208, 1.3330427, 1.7689625, 0.0, 0.0, 1.227907
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.1613083, 6.0399485, 1.1320897, 1.7020833, 1.7183164, 2.625672, 3.519685, 3.3616881
, 1.8005923, 7.8392506, 1.1794872, 1.3274162, 1.800789, 0.0, 0.0, 5.9524283
, 1.7575151, 6.864, 1.2467532, 1.2807193, 1.6853147, 0.0, 0.0, 5.8837676
, 1.9764776, 7.124408, 1.3459799, 1.5684872, 1.8458263, 3.273939, 3.8407578, 4.4696913
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.0998003, 5.894212, 1.2103689, 1.2604374, 1.5948361, 0.0, 0.0, 4.783784
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.9294235, 6.887674, 1.3863636, 1.4940711, 1.6916996, 0.0, 0.0, 4.765244
, 2.2742214, 4.8983192, 1.1183333, 1.145, 1.5083333, 0.0, 0.0, 1.6087704
, 2.4356847, 4.986948, 1.1010902, 1.1377602, 1.3379583, 0.0, 0.0, 1.5456432
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.6997906, 7.6071005, 1.1083806, 1.6206158, 1.9028001, 3.3597455, 3.6035821, 5.5422125
, 1.6705767, 7.9550343, 1.377561, 1.6556097, 1.9356097, 0.0, 0.0, 5.0895667
, 1.8622056, 7.0412784, 1.2500663, 1.6632578, 1.8023024, 3.0053022, 3.8139534, 4.669128
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.3220701, 6.2616806, 1.2155201, 1.6093163, 1.705663, 2.916129, 3.7539682, 5.086351
, 2.2518382, 6.0667887, 1.2319635, 1.3196347, 1.5625571, 0.0, 0.0, 1.2270577
, 1.9997793, 7.3156867, 1.2947347, 1.7317417, 1.8238523, 3.5512943, 3.6889565, 4.2469416
, 1.9748659, 7.0421777, 1.3128963, 1.7931907, 1.8951931, 3.3152082, 3.4304235, 4.3804326
, 1.6259062, 7.660882, 1.2463526, 1.7650456, 1.9641395, 2.8031826, 3.4902828, 5.934329
, 1.654251, 7.9050326, 1.3763094, 1.3021756, 1.906527, 0.0, 0.0, 5.969943
, 1.5745909, 7.5529866, 1.1585014, 1.4092219, 1.8789625, 0.0, 0.0, 5.9476743
, 1.7315853, 7.3695555, 1.1034409, 1.6987634, 1.9033333, 3.3518686, 3.4368446, 6.2296443
